Name,Score,Date,Theme,Language
google,1.0,2023-10-31,Google,en
new,0.6022727272727273,2023-10-31,Google,en
ai,0.5,2023-10-31,Google,en
android,0.25,2023-10-31,Google,en
best,0.2386363636363636,2023-10-31,Google,en
apple,0.2386363636363636,2023-10-31,Google,en
deal,0.2272727272727272,2023-10-31,Google,en
app,0.2159090909090909,2023-10-31,Google,en
get,0.1818181818181818,2023-10-31,Google,en
chrome,0.1704545454545454,2023-10-31,Google,en
iphone,0.1590909090909091,2023-10-31,Google,en
pixel,0.1477272727272727,2023-10-31,Google,en
reg,0.1477272727272727,2023-10-31,Google,en
game,0.1477272727272727,2023-10-31,Google,en
security,0.1363636363636363,2023-10-31,Google,en
time,0.1363636363636363,2023-10-31,Google,en
amazon,0.1363636363636363,2023-10-31,Google,en
search,0.125,2023-10-31,Google,en
watch stream,0.125,2023-10-31,Google,en
way,0.1136363636363636,2023-10-31,Google,en
save,0.1136363636363636,2023-10-31,Google,en
halloween,0.1136363636363636,2023-10-31,Google,en
say,0.1136363636363636,2023-10-31,Google,en
stream online,0.1136363636363636,2023-10-31,Google,en
watch,0.1022727272727272,2023-10-31,Google,en
samsung,0.1022727272727272,2023-10-31,Google,en
know,0.1022727272727272,2023-10-31,Google,en
biden,0.1022727272727272,2023-10-31,Google,en
u,0.1022727272727272,2023-10-31,Google,en
pro,0.0909090909090909,2023-10-31,Google,en
ios,0.0909090909090909,2023-10-31,Google,en
first,0.0909090909090909,2023-10-31,Google,en
like,0.0909090909090909,2023-10-31,Google,en
inch,0.0909090909090909,2023-10-31,Google,en
october,0.0909090909090909,2023-10-31,Google,en
web,0.0909090909090909,2023-10-31,Google,en
today,0.0909090909090909,2023-10-31,Google,en
smart,0.0909090909090909,2023-10-31,Google,en
car,0.0909090909090909,2023-10-31,Google,en
update,0.0909090909090909,2023-10-31,Google,en
future,0.0909090909090909,2023-10-31,Google,en
guide,0.0909090909090909,2023-10-31,Google,en
figure,0.0909090909090909,2023-10-31,Google,en
hasbro,0.0909090909090909,2023-10-31,Google,en
v,0.0909090909090909,2023-10-31,Google,en
time low,0.0909090909090909,2023-10-31,Google,en
fix,0.0795454545454545,2023-10-31,Google,en
move,0.0795454545454545,2023-10-31,Google,en
one,0.0795454545454545,2023-10-31,Google,en
page,0.0795454545454545,2023-10-31,Google,en
daily,0.0795454545454545,2023-10-31,Google,en
set,0.0795454545454545,2023-10-31,Google,en
seo,0.0795454545454545,2023-10-31,Google,en
phone,0.0795454545454545,2023-10-31,Google,en
ceo,0.0795454545454545,2023-10-31,Google,en
need,0.0795454545454545,2023-10-31,Google,en
online,0.0795454545454545,2023-10-31,Google,en
digital,0.0795454545454545,2023-10-31,Google,en
reverse,0.0795454545454545,2023-10-31,Google,en
low,0.0795454545454545,2023-10-31,Google,en
black friday,0.0795454545454545,2023-10-31,Google,en
pixel pro,0.0795454545454545,2023-10-31,Google,en
address bar,0.0795454545454545,2023-10-31,Google,en
executive order,0.0795454545454545,2023-10-31,Google,en
earbuds,0.0681818181818181,2023-10-31,Google,en
review,0.0681818181818181,2023-10-31,Google,en
tech,0.0681818181818181,2023-10-31,Google,en
porsche,0.0681818181818181,2023-10-31,Google,en
video,0.0681818181818181,2023-10-31,Google,en
m3,0.0681818181818181,2023-10-31,Google,en
mobile,0.0681818181818181,2023-10-31,Google,en
gaming,0.0681818181818181,2023-10-31,Google,en
buds,0.0681818181818181,2023-10-31,Google,en
software,0.0681818181818181,2023-10-31,Google,en
open,0.0681818181818181,2023-10-31,Google,en
world,0.0681818181818181,2023-10-31,Google,en
play,0.0681818181818181,2023-10-31,Google,en
portable,0.0681818181818181,2023-10-31,Google,en
feature,0.0681818181818181,2023-10-31,Google,en
take,0.0681818181818181,2023-10-31,Google,en
bar bottom,0.0681818181818181,2023-10-31,Google,en
star wars,0.0681818181818181,2023-10-31,Google,en
always,0.0568181818181818,2023-10-31,Google,en
display,0.0568181818181818,2023-10-31,Google,en
charge,0.0568181818181818,2023-10-31,Google,en
fitbit,0.0568181818181818,2023-10-31,Google,en
meta,0.0568181818181818,2023-10-31,Google,en
ad,0.0568181818181818,2023-10-31,Google,en
fire,0.0568181818181818,2023-10-31,Google,en
service,0.0568181818181818,2023-10-31,Google,en
qled,0.0568181818181818,2023-10-31,Google,en
tv,0.0568181818181818,2023-10-31,Google,en
share,0.0568181818181818,2023-10-31,Google,en
price,0.0568181818181818,2023-10-31,Google,en
series,0.0568181818181818,2023-10-31,Google,en
chatgpt,0.0568181818181818,2023-10-31,Google,en
business,0.0568181818181818,2023-10-31,Google,en
add,0.0568181818181818,2023-10-31,Google,en
issue,0.0568181818181818,2023-10-31,Google,en
soon,0.0568181818181818,2023-10-31,Google,en
google,1.0,2023-10-30,Google,en
new,0.6829268292682927,2023-10-30,Google,en
ai,0.6707317073170732,2023-10-30,Google,en
android,0.3902439024390244,2023-10-30,Google,en
best,0.2682926829268293,2023-10-30,Google,en
app,0.2682926829268293,2023-10-30,Google,en
biden,0.2317073170731707,2023-10-30,Google,en
executive order,0.2317073170731707,2023-10-30,Google,en
get,0.2195121951219512,2023-10-30,Google,en
apple,0.1951219512195122,2023-10-30,Google,en
make,0.1951219512195122,2023-10-30,Google,en
phone,0.1829268292682926,2023-10-30,Google,en
deal,0.1707317073170731,2023-10-30,Google,en
samsung,0.1585365853658536,2023-10-30,Google,en
watch,0.1585365853658536,2023-10-30,Google,en
users,0.1463414634146341,2023-10-30,Google,en
update,0.1341463414634146,2023-10-30,Google,en
tech,0.1341463414634146,2023-10-30,Google,en
tv,0.1341463414634146,2023-10-30,Google,en
review,0.1341463414634146,2023-10-30,Google,en
power,0.1341463414634146,2023-10-30,Google,en
storage,0.1219512195121951,2023-10-30,Google,en
pixel,0.1219512195121951,2023-10-30,Google,en
smart,0.1219512195121951,2023-10-30,Google,en
say,0.1219512195121951,2023-10-30,Google,en
ad free,0.1219512195121951,2023-10-30,Google,en
series,0.1097560975609756,2023-10-30,Google,en
reg,0.1097560975609756,2023-10-30,Google,en
google pixel,0.1097560975609756,2023-10-30,Google,en
time low,0.1097560975609756,2023-10-30,Google,en
home,0.0975609756097561,2023-10-30,Google,en
week,0.0975609756097561,2023-10-30,Google,en
search,0.0975609756097561,2023-10-30,Google,en
bug,0.0975609756097561,2023-10-30,Google,en
device,0.0975609756097561,2023-10-30,Google,en
amazon,0.0975609756097561,2023-10-30,Google,en
reverse,0.0975609756097561,2023-10-30,Google,en
feature,0.0975609756097561,2023-10-30,Google,en
search engine,0.0975609756097561,2023-10-30,Google,en
google ceo,0.0975609756097561,2023-10-30,Google,en
amazon low,0.0975609756097561,2023-10-30,Google,en
time,0.0853658536585365,2023-10-30,Google,en
use,0.0853658536585365,2023-10-30,Google,en
microsoft,0.0853658536585365,2023-10-30,Google,en
u,0.0853658536585365,2023-10-30,Google,en
tools,0.0853658536585365,2023-10-30,Google,en
sign,0.0853658536585365,2023-10-30,Google,en
sony,0.0853658536585365,2023-10-30,Google,en
iphone,0.0853658536585365,2023-10-30,Google,en
software,0.0853658536585365,2023-10-30,Google,en
return,0.0853658536585365,2023-10-30,Google,en
data,0.0853658536585365,2023-10-30,Google,en
pay,0.0853658536585365,2023-10-30,Google,en
take,0.0853658536585365,2023-10-30,Google,en
first,0.0853658536585365,2023-10-30,Google,en
way,0.0853658536585365,2023-10-30,Google,en
low,0.0853658536585365,2023-10-30,Google,en
day,0.0853658536585365,2023-10-30,Google,en
save,0.0853658536585365,2023-10-30,Google,en
hit,0.0853658536585365,2023-10-30,Google,en
default search,0.0853658536585365,2023-10-30,Google,en
facebook instagram,0.0853658536585365,2023-10-30,Google,en
problem,0.073170731707317,2023-10-30,Google,en
may,0.073170731707317,2023-10-30,Google,en
galaxy,0.073170731707317,2023-10-30,Google,en
want,0.073170731707317,2023-10-30,Google,en
future,0.073170731707317,2023-10-30,Google,en
model,0.073170731707317,2023-10-30,Google,en
sale,0.073170731707317,2023-10-30,Google,en
latest,0.073170731707317,2023-10-30,Google,en
game,0.073170731707317,2023-10-30,Google,en
v,0.073170731707317,2023-10-30,Google,en
pro,0.073170731707317,2023-10-30,Google,en
access,0.073170731707317,2023-10-30,Google,en
gaming,0.073170731707317,2023-10-30,Google,en
privacy,0.073170731707317,2023-10-30,Google,en
today,0.073170731707317,2023-10-30,Google,en
next,0.073170731707317,2023-10-30,Google,en
bring,0.073170731707317,2023-10-30,Google,en
offer,0.073170731707317,2023-10-30,Google,en
samsung galaxy,0.073170731707317,2023-10-30,Google,en
meta,0.0609756097560975,2023-10-30,Google,en
fix,0.0609756097560975,2023-10-30,Google,en
chip,0.0609756097560975,2023-10-30,Google,en
one,0.0609756097560975,2023-10-30,Google,en
camera,0.0609756097560975,2023-10-30,Google,en
cnet,0.0609756097560975,2023-10-30,Google,en
order,0.0609756097560975,2023-10-30,Google,en
need,0.0609756097560975,2023-10-30,Google,en
ceo,0.0609756097560975,2023-10-30,Google,en
companies,0.0609756097560975,2023-10-30,Google,en
market,0.0609756097560975,2023-10-30,Google,en
world,0.0609756097560975,2023-10-30,Google,en
europe,0.0609756097560975,2023-10-30,Google,en
really,0.0609756097560975,2023-10-30,Google,en
safeguards,0.0609756097560975,2023-10-30,Google,en
pre,0.0609756097560975,2023-10-30,Google,en
daily,0.0609756097560975,2023-10-30,Google,en
october,0.0609756097560975,2023-10-30,Google,en
plus,0.0609756097560975,2023-10-30,Google,en
google,1.0,2023-10-29,Google,en
new,0.803921568627451,2023-10-29,Google,en
ai,0.6470588235294118,2023-10-29,Google,en
v,0.5098039215686274,2023-10-29,Google,en
time,0.4313725490196078,2023-10-29,Google,en
week,0.4117647058823529,2023-10-29,Google,en
october,0.3137254901960784,2023-10-29,Google,en
review,0.2941176470588235,2023-10-29,Google,en
u,0.2745098039215686,2023-10-29,Google,en
amazon,0.2549019607843137,2023-10-29,Google,en
best,0.2352941176470588,2023-10-29,Google,en
say,0.2352941176470588,2023-10-29,Google,en
google pixel,0.2352941176470588,2023-10-29,Google,en
halloween,0.2156862745098039,2023-10-29,Google,en
free,0.2156862745098039,2023-10-29,Google,en
get,0.2156862745098039,2023-10-29,Google,en
com,0.2156862745098039,2023-10-29,Google,en
world,0.2156862745098039,2023-10-29,Google,en
israel,0.2156862745098039,2023-10-29,Google,en
watch,0.196078431372549,2023-10-29,Google,en
find,0.1764705882352941,2023-10-29,Google,en
game,0.1764705882352941,2023-10-29,Google,en
back,0.1764705882352941,2023-10-29,Google,en
today,0.1568627450980392,2023-10-29,Google,en
smart,0.1568627450980392,2023-10-29,Google,en
first,0.1568627450980392,2023-10-29,Google,en
pro,0.1568627450980392,2023-10-29,Google,en
apple,0.1568627450980392,2023-10-29,Google,en
man,0.1568627450980392,2023-10-29,Google,en
post,0.1568627450980392,2023-10-29,Google,en
day,0.1568627450980392,2023-10-29,Google,en
preview,0.1568627450980392,2023-10-29,Google,en
data,0.1568627450980392,2023-10-29,Google,en
trump,0.1568627450980392,2023-10-29,Google,en
world series,0.1568627450980392,2023-10-29,Google,en
set,0.1372549019607843,2023-10-29,Google,en
last,0.1372549019607843,2023-10-29,Google,en
tech,0.1372549019607843,2023-10-29,Google,en
house,0.1372549019607843,2023-10-29,Google,en
star,0.1372549019607843,2023-10-29,Google,en
update,0.1372549019607843,2023-10-29,Google,en
return,0.1372549019607843,2023-10-29,Google,en
biden,0.1372549019607843,2023-10-29,Google,en
gaza,0.1372549019607843,2023-10-29,Google,en
campaign,0.1372549019607843,2023-10-29,Google,en
rangers,0.1372549019607843,2023-10-29,Google,en
new york,0.1372549019607843,2023-10-29,Google,en
us tv,0.1372549019607843,2023-10-29,Google,en
real,0.1176470588235294,2023-10-29,Google,en
ceo,0.1176470588235294,2023-10-29,Google,en
help,0.1176470588235294,2023-10-29,Google,en
online,0.1176470588235294,2023-10-29,Google,en
max,0.1176470588235294,2023-10-29,Google,en
target,0.1176470588235294,2023-10-29,Google,en
life,0.1176470588235294,2023-10-29,Google,en
market,0.1176470588235294,2023-10-29,Google,en
c,0.1176470588235294,2023-10-29,Google,en
android,0.1176470588235294,2023-10-29,Google,en
billion,0.1176470588235294,2023-10-29,Google,en
low,0.1176470588235294,2023-10-29,Google,en
price,0.1176470588235294,2023-10-29,Google,en
war,0.1176470588235294,2023-10-29,Google,en
